system_time,axis_1_position_mm
15:13:34.298017,-39.889600
15:13:34.328736,-39.930499
15:13:34.376865,-39.975201
15:13:34.424161,-39.997400
15:13:34.627629,-39.940201
15:13:34.674727,-39.876801
15:13:34.720514,-39.793500
15:13:34.766838,-39.689600
15:13:34.814423,-39.561600
15:13:34.861554,-39.408701
15:13:34.908323,-39.239099
15:13:34.939067,-39.114999
15:13:34.985364,-38.906699
15:13:35.032977,-38.677399
15:13:35.103221,-38.443201
15:13:35.142055,-38.128101
15:13:35.188619,-37.898499
15:13:35.236045,-37.658701
15:13:35.282824,-37.427200
15:13:35.329967,-37.189401
15:13:35.375891,-36.957101
15:13:35.423034,-36.745001
15:13:35.469623,-36.488300
15:13:35.516923,-36.254001
15:13:35.564609,-36.018399
15:13:35.611246,-35.782800
15:13:35.657388,-35.552399
15:13:35.688180,-35.400800
15:13:35.734330,-35.168201
15:13:35.780935,-34.931400
15:13:35.828118,-34.698499
15:13:35.875712,-34.463699
15:13:35.922771,-34.226001
15:13:35.968462,-33.994299
15:13:36.015591,-33.760999
15:13:36.063201,-33.525699
15:13:36.110326,-33.287100
15:13:36.156477,-33.055701
15:13:36.187111,-32.900800
15:13:36.233401,-32.672601
15:13:36.280192,-32.440302
15:13:36.327271,-32.201999
15:13:36.374844,-31.966699
15:13:36.421608,-31.729599
15:13:36.468360,-31.498099
15:13:36.515669,-31.260599
15:13:36.562452,-31.029199
15:13:36.609585,-30.791199
15:13:36.655345,-30.559601
15:13:36.701487,-30.331000
15:13:36.748193,-30.098801
15:13:36.795479,-29.867599
15:13:36.841292,-29.630399
15:13:36.887333,-29.399500
15:13:36.933449,-29.172198
15:13:36.979579,-28.943600
15:13:37.025328,-28.712100
15:13:37.072433,-28.479901
15:13:37.103574,-28.287799
15:13:37.151166,-28.085001
15:13:37.197485,-27.853500
15:13:37.243923,-27.621600
15:13:37.289716,-27.387201
15:13:37.335981,-27.160001
15:13:37.381723,-26.927600
15:13:37.429383,-26.692801
15:13:37.475719,-26.461801
15:13:37.522700,-26.226199
15:13:37.569003,-25.996301
15:13:37.616178,-25.758899
15:13:37.663808,-25.523100
15:13:37.710932,-25.284300
15:13:37.756932,-25.054201
15:13:37.843800,-24.822800
15:13:37.882405,-24.429900
15:13:37.922561,-24.191600
15:13:37.959661,-24.040401
15:13:38.005478,-23.809399
15:13:38.051637,-23.581200
15:13:38.081926,-23.396001
15:13:38.128612,-23.198500
15:13:38.174937,-22.963901
15:13:38.205627,-22.780099
15:13:38.251499,-22.579401
15:13:38.298662,-22.345599
15:13:38.330715,-22.187601
15:13:38.376665,-21.953000
15:13:38.422857,-21.725101
15:13:38.470139,-21.490601
15:13:38.516477,-21.256300
15:13:38.562202,-21.025600
15:13:38.609422,-20.791299
15:13:38.655229,-20.560201
15:13:38.701397,-20.331799
15:13:38.748203,-20.097600
15:13:38.795390,-19.866901
15:13:38.842145,-19.628700
15:13:38.889406,-19.392599
15:13:38.936075,-19.160600
15:13:38.982774,-18.927299
15:13:39.029980,-18.692000
15:13:39.076303,-18.458299
15:13:39.123909,-18.221600
15:13:39.171342,-17.982700
15:13:39.218960,-17.747200
15:13:39.265109,-17.513000
15:13:39.297120,-17.281300
15:13:39.341872,-17.129300
15:13:39.388703,-16.898100
15:13:39.434108,-16.665601
15:13:39.479893,-16.437300
15:13:39.525682,-16.208200
15:13:39.572419,-15.979401
15:13:39.619660,-15.740401
15:13:39.665545,-15.509200
15:13:39.712816,-15.275700
15:13:39.760338,-15.040100
15:13:39.806553,-14.806599
15:13:39.852541,-14.573900
15:13:39.899251,-14.343300
15:13:39.945940,-14.112300
15:13:39.992893,-13.873599
15:13:40.039199,-13.646300
15:13:40.086518,-13.406300
15:13:40.133321,-13.174100
15:13:40.180446,-12.937199
15:13:40.227089,-12.706000
15:13:40.273888,-12.468700
15:13:40.320233,-12.241300
15:13:40.351110,-12.083600
15:13:40.398036,-11.851100
15:13:40.445061,-11.616000
15:13:40.492805,-11.375700
15:13:40.539676,-11.143000
15:13:40.586484,-10.906300
15:13:40.634037,-10.670500
15:13:40.681238,-10.431300
15:13:40.727576,-10.199900
15:13:40.774859,-9.964800
15:13:40.821934,-9.731300
15:13:40.869037,-9.492900
15:13:40.916724,-9.257800
15:13:40.963359,-9.023000
15:13:41.010119,-8.790500
15:13:41.057414,-8.551200
15:13:41.104166,-8.320600
15:13:41.151125,-8.083500
15:13:41.197344,-7.850200
15:13:41.244645,-7.618300
15:13:41.292740,-7.378000
15:13:41.324072,-7.221200
15:13:41.371435,-6.981900
15:13:41.417844,-6.751500
15:13:41.464553,-6.516500
15:13:41.511578,-6.283700
15:13:41.621710,-5.714100
15:13:41.667742,-5.499900
15:13:41.715507,-5.263300
15:13:41.762399,-5.029500
15:13:41.809459,-4.791500
15:13:41.855148,-4.560900
15:13:41.901476,-4.332600
15:13:41.947391,-4.099300
15:13:41.994676,-3.865300
15:13:42.040943,-3.636500
15:13:42.088241,-3.398300
15:13:42.134590,-3.168200
15:13:42.179878,-2.939600
15:13:42.226091,-2.708200
15:13:42.272488,-2.476700
15:13:42.303200,-2.307800
15:13:42.349949,-2.091900
15:13:42.396873,-1.855000
15:13:42.442683,-1.623800
15:13:42.490045,-1.391300
15:13:42.537219,-1.156600
15:13:42.583707,-0.942300
15:13:42.630510,-0.751900
15:13:42.678144,-0.578200
15:13:42.724423,-0.431100
15:13:42.770863,-0.306700
15:13:42.817589,-0.200700
15:13:42.864763,-0.117000
15:13:42.910505,-0.057100
15:13:42.957531,-0.018500
15:13:43.004341,-0.001000
